university,store_id,catalog_id,campus,campus_id,term,term_id,department,department_id,course,course_id,section,section_id,scanDate
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,103,103,4,4,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,103,103,5,5,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,103,103,6,6,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,103,103,7,7,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,103,103,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,200,200,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,200,200,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,242,242,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,242,242,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,302,302,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,342,342,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,342,342,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,442,442,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,442,442,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,443,443,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,471,471,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,471,471,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,471,471,3,3,2022-02-05 9:46:58
